,pred_class,true_class
32425,0.30433073584991066,0
51864,0.3030097776700745,1
127373,0.2961496043303864,0
98586,0.2957275879717635,1
52978,0.29541219808441016,1
11009,0.29509528749594227,0
114956,0.29424037236758127,1
33638,0.2937402300553896,1
78699,0.2928643765319542,1
21884,0.2925343122759879,0
54570,0.29236490268853255,1
51788,0.2918526406302997,1
58990,0.29071259138875616,1
120413,0.29052288166998724,1
44394,0.2901189390047308,1
95054,0.289127018996353,1
87306,0.2890084515553436,1
21876,0.28897544857334884,1
69160,0.28873924493382325,1
31203,0.2886878469099279,1
106535,0.28843570655934536,1
49405,0.2880751277050084,1
101846,0.2874593054050426,1
59496,0.2873450209897127,1
42248,0.28730160944011357,1
88747,0.28725576316190427,1
75735,0.28658864616012913,1
27504,0.2864581767437512,1
50024,0.2861853695001521,1
4734,0.2860597454394217,1
62480,0.28583019854005765,1
54087,0.28467707605700165,1
64739,0.2845115404224876,1
14470,0.2842796682308134,1
116724,0.28383941233351256,1
97306,0.28378121667067485,1
7148,0.28253498284524814,1
126022,0.2822759831418489,1
64547,0.2815981454265627,1
76106,0.2812532191434401,1
87380,0.2810176907531181,1
95500,0.2808698937392924,1
47379,0.280732149035554,1
115423,0.2806500450108649,1
70154,0.2803920237439553,1
13835,0.28029008775456576,1
34151,0.2802018389032292,1
37082,0.27989453025823857,1
100570,0.2798087334216262,1
63917,0.27980545455528555,1
71401,0.27942918730954025,1
120045,0.2792465676150662,1
129830,0.2788666152533285,1
119281,0.27793818271884746,1
59837,0.2778238783937312,1
25341,0.2774538814332216,1
119874,0.27745357255322317,1
128657,0.2774083485019575,1
2801,0.2772804532477691,1
88753,0.27714517581679354,1
22821,0.2764802472388129,0
17965,0.27640882845925563,1
122023,0.27635388558036605,1
75949,0.2762853095581684,0
85306,0.27618612121477903,0
113281,0.2760386985609001,1
117829,0.275629112428996,1
56516,0.27554546451518713,1
68824,0.27478496246395234,1
123331,0.2745052418942152,1
57858,0.2744776038786862,1
80467,0.273814027801114,1
97640,0.2737942919848769,1
39563,0.27315032426158825,1
21539,0.27303215314826873,1
31372,0.2729861322180894,1
93768,0.2728042758219989,1
7333,0.27267212743904323,0
20679,0.2722990391239209,1
42946,0.2720841630450026,1
8041,0.2719161763293584,0
41074,0.2718631659213576,0
113482,0.27130399223291,1
113999,0.271100820653055,1
26520,0.2709623325454527,1
15362,0.2708822568233041,1
48294,0.27074865410811383,1
63934,0.270597815734008,1
105254,0.27046511450872046,1
1267,0.2704601366783624,0
16689,0.2697405123843407,0
15014,0.2696589907952617,1
7068,0.26931893332923296,1
79982,0.26879066800733553,0
9435,0.26876479492716365,1
123914,0.26871996892857725,0
114356,0.26868329900951626,1
11340,0.26863944329561873,1
79681,0.26833167897026494,1
81905,0.26775357800607924,1
100802,0.2674565390971749,1
74831,0.26740482990888864,1
43070,0.26732715069348617,1
128446,0.2673035717647867,1
10227,0.26726884274264306,1
121946,0.2670798794910931,0
61333,0.26690276733446117,1
60619,0.2667865536836067,0
83188,0.2666490216009528,1
25555,0.2661925933902867,1
96083,0.2661646410563587,1
2855,0.26602299447314165,1
104480,0.26579676848344086,1
69808,0.26568734354973317,1
56511,0.2653362545931755,0
93919,0.2652143871995847,1
575,0.26499326569729786,1
83290,0.26476479259788865,1
38169,0.2647465483454552,1
125219,0.2646620396499621,1
103238,0.2645372510689402,0
78893,0.26420446355534116,0
79338,0.2641879694730539,1
128890,0.2640850771861044,1
5814,0.263898527084002,1
1707,0.26380270897416813,1
80230,0.26379583923792543,1
118870,0.26372525141526315,1
94377,0.263699224128893,1
89574,0.26350787323416625,1
35748,0.26348582197588843,1
78780,0.26347661932698097,0
114661,0.2634560574652326,0
124056,0.26332324077145136,1
81851,0.2632928691069426,1
19703,0.2632623515819208,1
7172,0.2631532530660514,1
17155,0.26309054365191226,1
42671,0.2629317476578024,1
102287,0.2627760334893226,0
48314,0.26266027803098907,1
129778,0.2626484136130146,1
118295,0.2626336727370029,1
119014,0.2623316303168865,1
6969,0.26232186627993187,0
78104,0.2620915005814485,0
50094,0.2620059026048415,1
25537,0.2619282362183593,0
104381,0.2617898020691074,1
83014,0.2614868018939005,1
27548,0.26143458542146303,0
53751,0.2612640079135475,1
27678,0.26121427999541663,1
34516,0.2611953377448745,1
